,,,,,,,,Edition : 12/01/2017
Activité et prix des vins sans IG et des vins IGP Blancs,,,,,,,,
,,Vin sans IG,,,Vin IGP,,,Campagnes
Mois,semaine dans la campagne,en milliers d'hl,en euros/hl,en euros/°hl,en milliers d'hl,en euros/hl,en euros/°hl,
,51,3,50.43,4.32,8,100.61,7.85,
,52,7,56.25,4.61,17,65.02,5.46,
Aug 2004,1,ns,ns,ns,12,67.39,5.69,2004-2005
,2,3,72.37,5.99,4,67.29,5.34,
,3,2,49.05,4.36,8,83.37,6.53,
,4,2,57.17,4.96,13,76.36,6.20,
Sep 2004,5,2,46.40,3.87,5,75.45,6.01,
,6,2,44.04,3.77,9,69.34,5.67,
,7,3,47.80,4.05,11,72.07,6.00,
,8,2,54.57,4.50,4,77.83,6.19,
,9,3,47.00,4.03,6,78.07,6.26,
Oct 2004,10,3,54.14,4.40,8,83.91,6.73,
,11,4,45.66,3.90,7,71.59,5.76,
,12,7,56.24,4.67,13,86.59,6.99,
,13,8,57.37,4.75,25,67.91,5.78,
Nov 2004,14,9,47.23,4.06,11,74.71,6.23,
,15,7,46.73,3.98,7,69.37,5.76,
,16,10,46.79,4.07,9,73.68,5.95,
,17,24,44.70,3.84,24,72.99,6.08,
Dec 2004,18,17,51.07,4.47,36,69.99,5.79,
,19,67,50.35,4.26,64,70.85,5.92,
,20,45,42.04,3.74,51,74.08,5.98,
,21,28,52.41,4.43,25,77.90,6.20,
,22,32,40.56,3.65,20,70.17,5.61,
Jan 2005,23,36,57.15,4.90,103,63.77,5.45,
,24,34,52.69,4.50,34,70.49,5.67,
,25,22,40.61,3.72,111,70.90,5.95,
,26,12,57.53,4.80,51,75.58,6.17,
Feb 2005,27,15,55.19,4.44,70,72.79,5.80,
,28,24,46.29,4.00,50,72.08,5.71,
,29,14,51.24,4.31,66,70.99,5.70,
,30,14,39.89,3.66,31,68.53,5.55,
Mar 2005,31,15,43.53,3.84,33,66.23,5.22,
,32,10,50.75,4.32,29,68.32,5.44,
,33,31,36.31,3.41,29,69.79,5.57,
,34,27,40.27,3.74,59,62.96,5.19,
,35,46,32.06,3.18,20,66.90,5.40,
Apr 2005,36,29,34.46,3.36,28,68.30,5.38,
,37,11,40.70,3.81,26,83.60,6.60,
,38,5,39.26,3.41,24,72.79,5.79,
,39,18,32.77,3.22,11,66.44,5.37,
May 2005,40,5,40.55,3.43,43,69.59,5.80,
,41,23,30.69,3.03,17,63.54,5.22,
,42,7,39.74,3.33,8,68.71,5.60,
,43,15,41.43,3.62,29,77.43,6.32,
Jun 2005,44,9,38.00,3.25,24,61.95,5.12,
,45,12,37.41,3.18,16,70.80,5.71,
,46,11,39.47,3.43,17,68.29,5.47,
,47,9,61.95,5.06,13,64.19,5.07,
,48,18,33.37,2.89,14,59.58,4.76,
Jul 2005,49,6,30.73,2.64,14,62.81,4.89,
,50,11,54.04,4.67,67,64.11,5.45,
,51,12,39.90,3.51,15,63.12,5.10,
,52,17,43.07,3.66,36,63.09,5.20,
Aug 2005,1,10,53.21,4.52,15,67.57,5.57,2005-2006
,2,5,36.61,2.85,15,59.38,4.89,
,3,2,37.77,3.09,7,71.27,5.65,
,4,5,33.67,2.78,6,61.62,4.99,
Sep 2005,5,11,30.49,2.56,20,69.15,5.55,
,6,6,31.82,2.70,25,70.41,5.55,
,7,5,34.11,2.75,14,79.64,6.34,
,8,12,33.26,2.82,12,68.27,5.39,
,9,4,28.11,2.47,10,52.72,4.21,
Oct 2005,10,4,35.73,2.94,12,73.73,5.79,
,11,3,45.82,3.93,13,62.14,4.99,
,12,17,32.17,2.77,10,66.52,5.42,
,13,11,43.23,3.55,5,57.84,4.66,
Nov 2005,14,7,40.55,3.58,9,58.39,4.88,
,15,10,44.39,3.62,22,60.82,4.90,
,16,12,37.03,3.22,21,65.99,5.30,
,17,25,41.55,3.65,24,64.24,5.12,
Dec 2005,18,10,34.99,3.09,21,65.54,5.15,
,19,41,45.84,3.88,46,63.94,5.12,
,20,31,44.71,3.87,50,66.93,5.27,
,21,69,34.74,3.09,99,67.30,5.51,
,22,14,44.80,3.70,54,65.92,5.31,
Jan 2006,23,7,40.99,3.45,19,60.78,4.75,
,24,41,44.42,3.81,75,57.77,4.77,
,25,44,41.77,3.64,66,61.17,5.04,
,26,40,31.74,2.93,41,66.13,5.20,
Feb 2006,27,23,43.51,3.69,47,64.10,5.19,
,28,28,41.28,3.46,53,63.55,5.05,
,29,9,39.44,3.35,65,60.89,4.95,
,30,19,42.25,3.57,37,58.34,4.76,
Mar 2006,31,7,40.18,3.40,33,69.66,5.43,
,32,12,41.51,3.58,21,64.14,5.08,
,33,11,37.48,3.20,50,63.96,5.11,
,34,20,39.95,3.36,41,59.19,4.70,
,35,9,35.18,2.93,15,61.27,4.84,
Apr 2006,36,16,33.51,3.04,36,64.29,5.12,
,37,23,39.45,3.35,40,56.32,4.56,
,38,10,49.64,4.28,56,61.40,5.04,
,39,12,44.35,3.58,20,64.39,5.04,
May 2006,40,6,31.65,2.68,15,65.61,5.09,
,41,8,32.48,2.76,12,60.07,4.77,
,42,11,47.61,3.99,25,60.84,4.82,
,43,7,42.87,3.46,19,63.32,4.92,
Jun 2006,44,5,37.56,3.10,21,61.67,4.79,
,45,6,33.50,2.94,25,55.11,4.50,
,46,9,29.55,2.48,42,57.62,4.78,
,47,10,32.53,2.77,15,60.90,4.78,
,48,11,34.30,2.88,26,61.48,4.88,
Jul 2006,49,11,34.13,2.93,18,59.58,4.75,
,50,13,34.34,2.92,31,61.69,4.93,
,51,10,50.37,4.08,10,56.38,4.38,
,52,6,32.37,2.76,12,55.55,4.39,
Aug 2006,1,2,32.19,2.69,17,51.88,4.13,2006-2007
,2,3,30.51,2.62,11,53.84,4.28,
,3,2,31.06,2.57,8,74.31,5.78,
,4,3,32.12,2.62,9,54.38,4.33,
Sep 2006,5,17,38.84,3.25,8,66.59,5.26,
,6,8,30.79,2.60,30,62.13,5.17,
,7,8,37.71,3.11,9,61.04,4.89,
,8,8,35.60,3.03,12,62.63,5.02,
,9,14,37.21,3.01,13,53.67,4.27,
Oct 2006,10,10,36.38,3.02,11,55.27,4.34,
