"","annee","ndep","dep","s_nig","s_total","q_blanc","q_rouge","q_total","p_blanc","p_rouge","revenu"
"574",2015,"16","CHARENTE",732,39145,24861,24830,4789078,88.00826923,76.37153846,935.9
"575",2015,"17","CHARENTE-MARITIME",1122,38783,74960,42249,4862613,88.00826923,76.37153846,935.9
"576",2015,"18","CHER",102,4191,286,1239,235015,88.00826923,76.37153846,935.9
"577",2015,"19","CORREZE",65,139,13,1352,3335,88.00826923,76.37153846,935.9
"578",2015,"21","COTE-D'OR",85,9528,1029,2332,392048,88.00826923,76.37153846,935.9
"579",2015,"24","DORDOGNE",582,11476,5145,16415,518646,88.00826923,76.37153846,935.9
"580",2015,"25","DOUBS",14,22,209,194,652,88.00826923,76.37153846,935.9
"581",2015,"26","DROME",270,15995,987,8474,773637,88.00826923,76.37153846,935.9
"582",2015,"28","EURE-ET-LOIR",0,0,0,7,7,88.00826923,76.37153846,935.9
"583",2015,"2A","CORSE-DU-SUD",93,887,329,2885,35004,88.00826923,76.37153846,935.9
"584",2015,"2B","HAUT-RHIN",248,4908,6443,10782,353266,88.00826923,76.37153846,935.9
"585",2015,"30","GARD",2802,52498,42637,222984,3369402,88.00826923,76.37153846,935.9
"586",2015,"31","HAUTE-CORSE",190,1547,284,3818,78172,88.00826923,76.37153846,935.9
"587",2015,"32","GERS",2837,17711,358423,28556,1729100,88.00826923,76.37153846,935.9
"588",2015,"33","GIRONDE",1923,113645,11498,115409,5672267,88.00826923,76.37153846,935.9
"589",2015,"34","HERAULT",6171,81124,119405,426007,5552878,88.00826923,76.37153846,935.9
"590",2015,"36","INDRE",171,557,1105,3226,22852,88.00826923,76.37153846,935.9
"591",2015,"37","INDRE-ET-LOIRE",581,9726,9793,17683,466382,88.00826923,76.37153846,935.9
"592",2015,"38","ISERE",463,690,1820,5275,19220,88.00826923,76.37153846,935.9
"593",2015,"39","JURA",164,2149,3005,3062,80253,88.00826923,76.37153846,935.9
"594",2015,"40","LANDES",209,1503,24007,3721,129449,88.00826923,76.37153846,935.9
"595",2015,"41","LOIRET",666,6454,10041,9143,299308,88.00826923,76.37153846,935.9
"596",2015,"42","LOIR-ET-CHER",132,940,1456,2976,35100,88.00826923,76.37153846,935.9
"597",2015,"43","HAUTE-GARONNE",41,41,18,551,569,88.00826923,76.37153846,935.9
"598",2015,"44","LOIRE",1890,11650,92146,52187,704726,88.00826923,76.37153846,935.9
"599",2015,"45","LOIRE-ATLANTIQUE",261,432,114,290,5776,88.00826923,76.37153846,935.9
"600",2015,"46","LOT",499,4902,310,27942,281515,88.00826923,76.37153846,935.9
"601",2015,"47","LOT-ET-GARONNE",629,5792,20381,22549,354391,88.00826923,76.37153846,935.9
"602",2015,"48","LOZERE",1,12,0,24,242,88.00826923,76.37153846,935.9
"603",2015,"49","MAINE-ET-LOIRE",1135,19340,24084,30185,1073591,88.00826923,76.37153846,935.9
"604",2015,"51","MARNE",5,23183,150,41,1806125,88.00826923,76.37153846,935.9
"605",2015,"52","HAUTE-LOIRE",51,133,360,361,6326,88.00826923,76.37153846,935.9
"606",2015,"53","MAYENNE",2,2,45,23,568,88.00826923,76.37153846,935.9
"607",2015,"54","MEURTHE-ET-MOSELLE",63,141,712,877,5053,88.00826923,76.37153846,935.9
"608",2015,"55","MEUSE",8,41,284,91,1712,88.00826923,76.37153846,935.9
"609",2015,"57","MOSELLE",57,95,2302,704,4777,88.00826923,76.37153846,935.9
"610",2015,"58","NIEVRE",72,1585,431,766,86856,88.00826923,76.37153846,935.9
"611",2015,"59","NORD",1,1,22,22,44,88.00826923,76.37153846,935.9
"612",2015,"60","OISE",0,0,16,1,17,88.00826923,76.37153846,935.9
"613",2015,"62","PAS-DE-CALAIS",0,0,4,0,4,88.00826923,76.37153846,935.9
"614",2015,"63","PUY-DE-DOME",128,465,408,4522,18540,88.00826923,76.37153846,935.9
