"annee","ndep","dep","s_nig","s_total","q_blanc","q_rouge","q_total","p_blanc","p_rouge","revenu","qk_prod","ql_prod"
2014,"81","TARN",1010,6576,29502,36867,397101,82.30811577,70.88129316,929.0361325,240873.8,126322.1
2014,"82","TARN-ET-GARONNE",485,1661,316,15593,85080,82.30811577,70.88129316,929.0361325,601248.1,130538.1
2014,"83","VAUCLUSE",457,27828,2856,24360,1568625,82.30811577,70.88129316,929.0361325,3040732.9,684423.4
2014,"84","VENDEE",1792,46584,21169,100206,2403997,82.30811577,70.88129316,929.0361325,71561,178143.3
2014,"85","VAR",631,1336,3583,17941,56744,82.30811577,70.88129316,929.0361325,1235467.6,280022.5
2014,"86","VIENNE",493,1438,1846,11479,68505,82.30811577,70.88129316,929.0361325,67395.1,306369.4
2014,"87","HAUTES-ALPES",1,7,2,16,363,82.30811577,70.88129316,929.0361325,74892.7,17110.6
2014,"88","VOSGES",31,31,12,427,439,82.30811577,70.88129316,929.0361325,7687.9,27217.4
2014,"89","YONNE",63,7430,576,1756,447947,82.30811577,70.88129316,929.0361325,407613.6,255519
2015,"01","AIN",189,758,2977,7520,39233,88.00826923,76.37153846,935.9,120796.6,117915.2
2015,"02","AISNE",5,2441,349,8,179477,88.00826923,76.37153846,935.9,222442.3,301479.1
2015,"03","ALLIER",86,647,548,2233,27103,88.00826923,76.37153846,935.9,41618.2,100350.8
2015,"04","ALPES-DE-HAUTE-PROVENCE",72,674,213,4593,41733,88.00826923,76.37153846,935.9,99311.2,60223.3
2015,"05","HAUTE-MARNE",15,116,88,233,4456,88.00826923,76.37153846,935.9,5109.8,111370.1
2015,"06","ALPES-MARITIMES",6,86,7,84,2245,88.00826923,76.37153846,935.9,25700.2,8652.9
2015,"07","ARDECHE",640,10321,8601,11671,520944,88.00826923,76.37153846,935.9,137513.2,39178.2
2015,"09","ARIEGE",15,67,16,412,2544,88.00826923,76.37153846,935.9,15958.2,56231.3
2015,"10","AUBE",16,6968,204,393,514671,88.00826923,76.37153846,935.9,550581.8,671028.8
2015,"11","AUDE",3694,67810,63675,244488,3884761,88.00826923,76.37153846,935.9,1337755.5,559378.8
2015,"12","AVEYRON",83,404,97,1414,14223,88.00826923,76.37153846,935.9,85149.7,91583
2015,"13","BOUCHES-DU-RHONE",275,10151,10380,9870,622859,88.00826923,76.37153846,935.9,450059.5,128121.4
2015,"14","CALVADOS",0,5,1,0,183,88.00826923,76.37153846,935.9,26357.4,64737.5
2015,"15","CANTAL",1,8,5,23,212,88.00826923,76.37153846,935.9,1546.4,16383.5
2015,"16","CHARENTE",732,39145,24861,24830,4789078,88.00826923,76.37153846,935.9,1450374.1,700100.5
2015,"17","CHARENTE-MARITIME",1122,38783,74960,42249,4862613,88.00826923,76.37153846,935.9,848488.3,594107
2015,"18","CHER",102,4191,286,1239,235015,88.00826923,76.37153846,935.9,303384.5,366083.5
2015,"19","CORREZE",65,139,13,1352,3335,88.00826923,76.37153846,935.9,73851.7,30207
2015,"21","COTE-D'OR",85,9528,1029,2332,392048,88.00826923,76.37153846,935.9,372176.9,390729.5
2015,"24","DORDOGNE",582,11476,5145,16415,518646,88.00826923,76.37153846,935.9,370695,219080.2
2015,"25","DOUBS",14,22,209,194,652,88.00826923,76.37153846,935.9,5031.6,56904.1
2015,"26","DROME",270,15995,987,8474,773637,88.00826923,76.37153846,935.9,641689.7,174877.6
2015,"28","EURE-ET-LOIR",0,0,0,7,7,88.00826923,76.37153846,935.9,67756.3,231779.4
